scene,query_room,query_image,pred_room,pred_scene,reference_image,correct,global_score,patch_score,object_score,total_score,fine_matches
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/0.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8569035530090332,0.7269294857978821,0.8103909492492676,2.394223988056183,97
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/1.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.7784399390220642,0.6171241402626038,0.7749166488647461,2.170480728149414,42
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/10.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.871811032295227,0.6826536655426025,0.8023993968963623,2.356864094734192,92
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/100.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8410820364952087,0.8549397587776184,0.9266549348831177,2.622676730155945,64
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/101.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.6927721500396729,0.5195046067237854,0.8140864372253418,2.0263631939888,121
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/102.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8277439475059509,0.7144463062286377,0.8459110856056213,2.38810133934021,152
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/103.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8278782367706299,0.6774839162826538,0.7427226305007935,2.248084783554077,105
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/104.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8140683174133301,0.687791109085083,0.6475744247436523,2.1494338512420654,172
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/105.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8426963686943054,0.7269448041915894,0.9395079612731934,2.509149134159088,248
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/106.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9139036536216736,0.7560911178588867,0.9466800689697266,2.616674840450287,271
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/107.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8527244329452515,0.7297840118408203,0.9376409649848938,2.5201494097709656,244
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/108.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8322994112968445,0.7560334205627441,0.879083514213562,2.4674163460731506,274
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/109.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8028808832168579,0.6439005136489868,0.8644901514053345,2.311271548271179,368
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/11.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8246123790740967,0.32578936219215393,0.8855188488960266,2.035920590162277,77
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/110.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.820864737033844,0.7253894209861755,0.6034508943557739,2.1497050523757935,142
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/111.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.7891169786453247,0.5476950407028198,0.7638377547264099,2.1006497740745544,32
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/112.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.8278482556343079,0.8196508884429932,0.8117055892944336,2.4592047333717346,81
apartment_0,kitchen,datasets/ReplicaReID/apartment_0/kitchen/rgb/113.png,kitchen,apartment_0,datasets/ReplicaReID/apartment_0/kitchen/ref/rgb/0.png,1,0.9403436779975891,0.9162368774414062,0.8771443367004395,2.733724892139435,193
